Question,Category
https://leetcode.com/problems/min-cost-climbing-stairs/,Linear
https://leetcode.com/problems/divisor-game/,Linear
https://leetcode.com/problems/decode-ways/,Linear
https://leetcode.com/problems/unique-binary-search-trees/,Linear
https://leetcode.com/problems/house-robber/,Linear
https://leetcode.com/problems/perfect-squares/,Linear
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Linear
https://leetcode.com/problems/coin-change/,Linear
https://leetcode.com/problems/counting-bits/,Linear
https://leetcode.com/problems/integer-break/,Linear
https://leetcode.com/problems/count-numbers-with-unique-digits/,Linear
https://leetcode.com/problems/wiggle-subsequence/,Linear
https://leetcode.com/problems/partition-equal-subset-sum/,Linear
https://leetcode.com/problems/maximum-length-of-pair-chain/,Linear
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Linear
https://leetcode.com/problems/delete-and-earn/,Linear
https://leetcode.com/problems/domino-and-tromino-tiling/,Linear
https://leetcode.com/problems/knight-dialer/,Linear
https://leetcode.com/problems/minimum-cost-for-tickets/,Linear
https://leetcode.com/problems/partition-array-for-maximum-sum/,Linear
https://leetcode.com/problems/filling-bookcase-shelves/,Linear
https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference/,Linear
https://leetcode.com/problems/greatest-sum-divisible-by-three/,Linear
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Linear
https://leetcode.com/problems/student-attendance-record-ii/,Linear
https://leetcode.com/problems/decode-ways-ii/,Linear
https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/,Linear
https://leetcode.com/problems/maximum-profit-in-job-scheduling/,Linear
https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,Linear
https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/,Linear
https://leetcode.com/problems/stone-game-iii/,Linear
https://leetcode.com/problems/restore-the-array/,Linear
https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target/,Linear
https://leetcode.com/problems/stone-game-iv/,Linear
https://leetcode.com/problems/coin-change-2/,Linear
https://leetcode.com/problems/house-robber-ii/,Knapsack
https://leetcode.com/problems/ones-and-zeroes/,Knapsack
https://leetcode.com/problems/target-sum/,Knapsack
https://leetcode.com/problems/shopping-offers/,Knapsack
https://leetcode.com/problems/2-keys-keyboard/,Knapsack
https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/,Knapsack
https://leetcode.com/problems/best-team-with-no-conflicts/,Knapsack
https://leetcode.com/problems/profitable-schemes/,Knapsack
https://leetcode.com/problems/tallest-billboard/,Knapsack
https://leetcode.com/problems/pizza-with-3n-slices/,Knapsack
https://leetcode.com/problems/reducing-dishes/,Knapsack
https://leetcode.com/problems/triangle/,Multidimensional
https://leetcode.com/problems/combination-sum-iv/,Multidimensional
https://leetcode.com/problems/out-of-boundary-paths/,Multidimensional
https://leetcode.com/problems/knight-probability-in-chessboard/,Multidimensional
https://leetcode.com/problems/champagne-tower/,Multidimensional
https://leetcode.com/problems/largest-sum-of-averages/,Multidimensional
https://leetcode.com/problems/minimum-falling-path-sum/,Multidimensional
https://leetcode.com/problems/video-stitching/,Multidimensional
https://leetcode.com/problems/longest-arithmetic-subsequence/,Multidimensional
